Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A0F7IML8	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0K1MY57	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0K1MY71	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0K1MY73	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A0K1MYW9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZND7	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZNE5	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZNE6	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZNF2	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZNH3	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A127ZNJ0	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U2C3	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U2C7	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U2S6	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U336	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U4Z8	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U802	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A2I4U8B0	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A386TX74	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A386TX82	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A3Q0KBT9	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]		protein phosphorylation [GO:0006468]
A0A3Q0KBU0	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]		protein phosphorylation [GO:0006468]
A0A3Q0KC34	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]	nucleus [GO:0005634]	AMP salvage [GO:0044209]; phosphorylation [GO:0016310]; purine ribonucleoside salvage [GO:0006166]
A0A3Q0KC36	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]	nucleus [GO:0005634]	AMP salvage [GO:0044209]; phosphorylation [GO:0016310]; purine ribonucleoside salvage [GO:0006166]
A0A3Q0KC81	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]	protein lipoylation [GO:0009249]
A0A3Q0KD80	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)	2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity [GO:0043333]	extrinsic component of mitochondrial inner membrane [GO:0031314]	methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]
A0A3Q0KD94	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]	cytoplasm [GO:0005737]	phosphorylation [GO:0016310]; ribosome biogenesis [GO:0042254]
A0A3Q0KEF0	Adenylyltransferase and sulfurtransferase MOCS3 homolog (UBA4 homolog) (Ubiquitin-like protein activator 4 homolog) [Includes: Adenylyltransferase (EC 2.7.7.-); Sulfurtransferase (EC 2.8.1.-)]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; thiosulfate sulfurtransferase activity [GO:0004792]; ubiquitin-like modifier activating enzyme activity [GO:0008641]	cytosol [GO:0005829]	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; tRNA wobble position uridine thiolation [GO:0002143]
A0A3Q0KEL0	DNA replication licensing factor MCM3 (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	MCM complex [GO:0042555]; nucleus [GO:0005634]	DNA duplex unwinding [GO:0032508]; DNA replication initiation [GO:0006270]
A0A3Q0KEV1	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase)	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; transferase activity [GO:0016740]	cytoplasm [GO:0005737]	glycyl-tRNA aminoacylation [GO:0006426]
A0A3Q0KF43	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	fructose 6-phosphate metabolic process [GO:0006002]
A0A3Q0KF51	FAR-17a/AIG1-like protein		membrane [GO:0016020]	
A0A3Q0KFC1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; metal ion binding [GO:0046872]	cytosol [GO:0005829]	phosphorylation [GO:0016310]
A0A3Q0KFC5	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; metal ion binding [GO:0046872]	cytosol [GO:0005829]	phosphorylation [GO:0016310]
A0A3Q0KFN3	Sugar phosphate phosphatase (EC 2.1.1.-) (EC 3.1.3.-)	fructose 6-phosphate aldolase activity [GO:0097023]; fructose-1-phosphatase activity [GO:0103026]; metal ion binding [GO:0046872]; protein-glutamate O-methyltransferase activity [GO:0008983]		methylation [GO:0032259]
A0A3Q0KFU7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (N-acetylglucosamine-1-phosphate transferase)	glycosyltransferase activity [GO:0016757]; UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity [GO:0003975]	endoplasmic reticulum membrane [GO:0005789]	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]
A0A3Q0KG87	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]	'de novo' AMP biosynthetic process [GO:0044208]
A0A3Q0KH18	DNA topoisomerase 2 (EC 5.6.2.2)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]		DNA topological change [GO:0006265]
A0A3Q0KHV1	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; RNA ligase (ATP) activity [GO:0003972]	tRNA-splicing ligase complex [GO:0072669]	tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]
A0A3Q0KI04	cGMP-dependent protein kinase (EC 2.7.11.12)	ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; protein serine kinase activity [GO:0106310]		protein phosphorylation [GO:0006468]
A0A3Q0KJA1	DNA replication licensing factor MCM6 (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	MCM complex [GO:0042555]; nucleus [GO:0005634]	cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]
A0A3Q0KL23	Lon protease homolog, mitochondrial (EC 3.4.21.53)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]	mitochondrial matrix [GO:0005759]	cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; oxidation-dependent protein catabolic process [GO:0070407]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
A0A3Q0KLB2	Phosphatidylserine synthase (EC 2.7.8.29) (Serine-exchange enzyme)	L-serine-phosphatidylethanolamine phosphatidyltransferase activity [GO:0106245]	endoplasmic reticulum membrane [GO:0005789]	phosphatidylserine biosynthetic process [GO:0006659]
A0A3Q0KM90	[heparan sulfate]-glucosamine N-sulfotransferase (EC 2.8.2.8)	[heparan sulfate]-glucosamine N-sulfotransferase activity [GO:0015016]; hydrolase activity [GO:0016787]	membrane [GO:0016020]	heparan sulfate proteoglycan biosynthetic process [GO:0015012]; heparin biosynthetic process [GO:0030210]
A0A3Q0KNA7	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922]	microtubule severing [GO:0051013]
A0A3Q0KND4	Pyruvate carboxylase (EC 6.4.1.1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]	cytoplasm [GO:0005737]	gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]
A0A3Q0KNK4	E3 ubiquitin-protein ligase (EC 2.3.2.27)	poly-ADP-D-ribose binding [GO:0072572]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]	protein autoubiquitination [GO:0051865]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway [GO:0016055]
A0A3Q0KNY0	Delta-1-pyrroline-5-carboxylate synthase [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]	mitochondrion [GO:0005739]	L-proline biosynthetic process [GO:0055129]; phosphorylation [GO:0016310]
A0A3Q0KRT8	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)	phosphoseryl-selenocysteinyl-tRNA selenium transferase activity [GO:0098621]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]	conversion of seryl-tRNAsec to selenocys-tRNAsec [GO:0001717]; translation [GO:0006412]
A0A3Q0KS15	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	Ino80 complex [GO:0031011]	DNA repair [GO:0006281]
A0A3Q0KS94	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]	mitochondrion [GO:0005739]	tricarboxylic acid cycle [GO:0006099]
A0A3Q0KT28	DNA replication licensing factor MCM4 (EC 3.6.4.12)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	MCM complex [GO:0042555]; nucleus [GO:0005634]	DNA replication initiation [GO:0006270]
A0A3Q0KT74	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	microtubule binding [GO:0008017]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; katanin complex [GO:0008352]; microtubule [GO:0005874]; spindle pole [GO:0000922]	cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule severing [GO:0051013]
A0A3Q0KUF6	DNA replication ATP-dependent helicase/nuclease (EC 3.1.-.-) (EC 3.6.4.12)	4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-flap endonuclease activity [GO:0017108]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; single-stranded DNA helicase activity [GO:0017116]	chromosome [GO:0005694]; nucleus [GO:0005634]	DNA repair [GO:0006281]; DNA replication, Okazaki fragment processing [GO:0033567]
A0A3Q0KVB9	ATPase ASNA1 homolog (EC 3.6.-.-) (Arsenical pump-driving ATPase homolog) (Arsenite-stimulated ATPase)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]	endoplasmic reticulum [GO:0005783]	protein insertion into ER membrane [GO:0045048]
A0A482CZZ2	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A482D004	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A482D120	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A482D1H2	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A482D1V8	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A514ARS4	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
A0A514ARS9	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	oxidative phosphorylation [GO:0006119]
